site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Daphne gnidium,Daphgnid,shrub,0,0,NA,6,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Lithodora prostrata,Lithpros,shrub,0,0,NA,NA,NA,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Lithodora prostrata,Lithpros,tree,0,0,NA,NA,NA,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Ilex aquifolium,Ilexaqui,shrub,0,0,NA,1,NA,2,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus populifolius,Cistpopu,shrub,0,0,NA,4,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cytisus striatus,Cytistri,shrub,0,0,NA,NA,NA,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cytisus striatus,Cytistri,tree,0,0,NA,NA,NA,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus salvifolius,Cistsalv,tree,0,0,NA,4,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Adenocarpus telonensis,Adentelo,shrub,0,0,NA,2,NA,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Arbutus unedo,Arbuuned,shrub,0,0,NA,5,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Pyrus bourgaeana,Pyrubour,shrub,0,0,NA,4,NA,2,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Genista tridentata,Genitrid,shrub,0,0,NA,2,1,1,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Quercus suber,Quersube,shrub,1.8000000000000007,1,2,3,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Quercus lusitanica,Querlusi,shrub,0,0,NA,3,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Quercus canariensis,Quercana,tree,0,0,NA,3,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Genista tridens,Genitrids,shrub,0,0,NA,3,1,1,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Phlomys purpurea,Phlopurp,shrub,1.5,1,0,5,0,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Ilex aquifolium,Ilexaqui,shrub,0,0,NA,1,NA,2,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Halimium halimifolium,Halihali,tree,0,0,NA,5,0,1,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Phillyrea latifolia,Phillati,shrub,0.20000000000000007,1,2,2,NA,2,2
