species,site,shrub_tree,in_out,cover,presence
Ceratonia siliqua,Laurel,shrub,inside,0,0
Ceratonia siliqua,Laurel,tree,inside,0,0
Ceratonia siliqua,Laurel,shrub,outside,0,0
Ceratonia siliqua,Laurel,tree,outside,0,0
Ceratonia siliqua,Mogea_Luenga2,shrub,inside,0,0
Ceratonia siliqua,Mogea_Luenga2,tree,inside,0,0
Ceratonia siliqua,Mogea_Luenga2,shrub,outside,0,0
Ceratonia siliqua,Mogea_Luenga2,tree,outside,0,0
Ceratonia siliqua,Palancar,shrub,inside,0,0
Ceratonia siliqua,Palancar,tree,inside,0,0
Ceratonia siliqua,Palancar,shrub,outside,0,0
Ceratonia siliqua,Palancar,tree,outside,0,0
Ceratonia siliqua,Puertollano,shrub,inside,0,0
Ceratonia siliqua,Puertollano,tree,inside,0,0
Ceratonia siliqua,Puertollano,shrub,outside,0,0
Ceratonia siliqua,Puertollano,tree,outside,0,0
Ceratonia siliqua,Teja1,shrub,inside,0,0
Ceratonia siliqua,Teja1,tree,inside,0,0
Ceratonia siliqua,Teja1,shrub,outside,0,0
Ceratonia siliqua,Teja1,tree,outside,0,0
Cistus albidus,Aljibe,shrub,inside,0,0
Cistus albidus,Aljibe,tree,inside,0,0
Cistus albidus,Aljibe,shrub,outside,0,0
Cistus albidus,Aljibe,tree,outside,0,0
Cistus albidus,Barrancones,shrub,inside,0,0
